ID,명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,쉬는날,개장기간,이용시간,입장료,체험가능연령,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
[제주올레 13코스] 용수-저지 올레,63009,,,제주특별자치도 제주시 한경면 용수리 4241-7 ,33.3238525087,126.1660609434,"중산간 숲길 올레의 시작을 알리는 코스다. 해안가를 이어오던 제주올레의 지도가 내륙으로 방향을 틀었다. 바다는 오직 시작점인 용수포구에서만 인사한 후 길은 중산간으로 이어진다. 용수저수지와 숲을 지나 작은 마을 낙천리를 만나고 다시 숲과 오름을 오른다. 50여명의 특전사 대원들의 도움으로 복원된 숲길  밭길과 저지오름의 울창한 숲이 매력적인 길이다.

(출처 : 제주 올레 홈페이지)",,,,연중무휴,,상시개방,,,,,없음,,,없음,"코스안내:길이 : 16.2km<br>
소요시간 : 약 4-5시간<br>
구간 : 용수포구 - 용수저수지 - 먼고돌담 - 낙천리사무소 - 뒷동산아리랑길 - 저지오름 입구 - 저지예술정보화마을
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 14코스] 저지-한림 올레,63005,,,제주특별자치도 제주시 한경면 저지리 1851-5 (한경면),33.3325196218,126.2558862752,고요하고 아늑한 초록의 숲길 올레와 시원하게 생동하는 파랑의 바당 올레가 어우러진 길이다. 제주의 농촌 풍경에 마음이 탁 풀어지는 밭길을 지나면 곶자왈처럼 무성한 숲길이 이어지고  폭신한 숲길을 벗어나 물이 마른 하천을 따라 가노라면 어느새 걸음은 바다에 닿는다. 돌담길  밭길  숲길  하천길  나무 산책로가 깔린 바닷길  자잘한 돌이 덮인 바닷길  고운 모래사장 길  마을 길들이 차례로 나타나 지루할 틈 없는 여정이 이어진다. 바다에서는 아름다운 섬 비양도를 내내 눈에 담고 걷는다.<br /><br /><출처 : 사단법인 제주올레><br>,,19.1km(6~7시간),,,,"* 걷기 시작시간 09:00<br />
* 걷기 종료시간 18:00(하절기) / 17:00(동절기)",,,,,없음,,,없음,"코스안내:저지예술 정보화마을 - 큰소낭숲길(2.4km) - 무명천산책길 입구(6.5km) - 월령선인장자생지 입구(10.1km) - 일성제주비치콘도(11.9km) - 금농해수욕장(14km) - 용포포구(16.6km) - 한림항(19.1km)
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 15코스] 한림-고내 올레 (A),63031,,,제주특별자치도 제주시 한림읍 한림해안로 196 ,33.4193184574,126.2625365394,난대림 숲을 지나 고즈넉한 중산간 풍광의 올레다. 중산간의 끝없이 펼쳐진 밭길과 숲길  흙길을 걷게 된다. 평범한 마을공원처럼 보이지만 거기에 들어서면 마치 사차원 세계로 빠져들듯 깊고 아름다운 숲길인 금산공원은 이 코스의 숨은 명소다. 곽지팔경 중 하나인 과오름의 세봉우리와 도새기 숲길  고내봉을 지나면 고내포구에 도착한다.<br /><br /><출처 : 사단법인 제주올레><br>,,16.5km(5~6시간),,,,"* 걷기 시작시간 09:00<br />
* 걷기 종료시간 18:00(하절기) / 17:00(동절기)",,,,,없음,,,없음,"코스안내:A한림항 - 수원농로(1.6km) - 영새생물(3km) - 선운정사(6.7km) - 남읍숲길(9.6km) - 남읍리 난대림 화장실(11.2km) - 고내봉 입구(15.1km) - 고내포구(16.5km)
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 16코스] 고내-광령 올레,63045,,,제주특별자치도 제주시 애월읍 고내리 1111-2 (애월읍),33.4669310396,126.3379094700,"애월 바다의 소박한 아름다움과 중산간 올레로 이어지는 길이다. 고내에서 구엄까지의 쪽빛 바다  아직도 하얀 소금기가 햇빛에 빛나는 소금빌레  낚시꾼들이 한가롭게 세월을 낚는 잔잔한 저수지  키 큰 나무들이 그늘을 드리우는 호젓한 숲  삼별초가 항전을 벌였던 옛 토성  평화롭고 소박한 마을  돌담을 두른 밭  이 모든 것을 하나로 이어 볼 수 있는 길이다.

<출처 : 사단법인 제주올레>",,15.8m(5~6시간),,,,[걷기 시작 시간] 09:00<br />[걷기 종료 시간] 18:00 (하절기) / 17:00 (동절기),,,,,없음,,,없음,"코스안내:고내포구 - 남두연대(2.8km) - 구엄어촌체험마을(4.8km) - 수산봉 정상(6.6km) - 예원동 복지회관(9.7km) - 항파두리코스모스 정자(11.7km) - 광령1리사무소(15.8km)
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 17코스] 광령-제주원도심 올레,63062,,,제주특별자치도 제주시 애월읍 광령리 1271-5 (애월읍),33.4607694370,126.4392563501,"제주 올레는 제주도를 걸어서 여행하는 장거리도보 여행길이다. 17코스는 무수천을 따라 숲길  무수천과 바다가 만나는 물길을 지나 공항이 있는 제주시 도심으로 들어선다. 제주 시내와 인접한 곳이라고는 믿기지 않을 정도로 고즈넉한 외도의 월대와 내도의 알작지 해안을 만난다. 청보리 길과 이호테우해변과 한가로운 마을을 걸으면 어느새 발길은 제주의 머리라는 도두봉에 오른다. 심심한 해안 도로를 걷고 난 후 만나는 용두암과 용연다리도 볼거리다. 무근성과 목관아지를 지나 제주 시내를 통과하는 길은 제주 사람들이 과거에 살아온 모습과 지금 살아가는 모습들을 있는 그대로 느낄 수 있다. 

(출처 : 제주 올레)",,,,,,상시 개방,,,,불가능,없음,,,없음,"코스안내:광령1리사무소 - 무수천트멍길(2.5km) - 외도월대(5.6km) - 이호테우해수욕장(7.9km) - 휠체어구간 시작(11.7km) - 어영소공원(13.3km) - 용연다리(16.1km) - 간세라운지x관덕정분식(18.1km)
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 18코스] 제주원도심-조천 올레,63278,,,제주특별자치도 제주시 산지로 7 (건입동) ,33.5159036718,126.5304027336,"제주시의 도심 한복판  김만덕 기념관에서부터 시작된다. 제주항을 지나 언덕을 오르면 제주 시내권에 박힌 보석 같은 두 오름  사라봉과 별도봉이 아름다운 전망을 선사해 준다. 4.3 당시  마을 전체가 불타 없어져 흔적만 남은 곤을동 마을 터에서 제주의 아픈 상처를 되새기면서 신촌으로 제사 먹으러 가던 옛길을 따라 길을 이어간다. 18코스의 절정  시비코지에서 닭모루로 이어지는 바당길은 숨이 탁 트이는 풍경을 감상할 수 있다.

(출처 : 제주올레트레일 홈페이지)",,,,,,하절기 09:00~18:00<br>동절기 09:00~17:00,,,,,없음,,,없음,"코스안내:김만덕 기념관 → 사라봉 정상(2.3㎞) → 별도봉 산책길(3.9㎞) → 화복포구(6.4㎞) → 삼양해수욕장 정자(9.7㎞) → 닭모루(13.9㎞) → 연북정(17.6㎞) → 조천만세동산(18.7㎞ / 6~7시간)
"
[제주올레 19코스] 조천-김녕 올레,63335,,,제주특별자치도 제주시 조천읍 조천리 1209-1 (조천읍),33.5398027986,126.6412842181,"제주 올레는 제주도를 걸어서 여행하는 장거리도보 여행길이다. 19코스는 바다와 오름  곶자왈  마을  밭 등 제주의 가장 아름다운 모습들을 지루할 틈 없이 펼쳐 보여준다. 밭에서 물빛 고운 바다로  바다에서 솔향 가득한 숲으로  숲에서 정겨운 마을로 이어지는 길에는 제주의 진면목이 담겨 있다. 또한 제주 항일운동의 현장인 조천만세동산과 4.3 당시 큰 피해를 입은 북촌리의 너븐숭이 4.3 기념관에서 제주 근현대사의 아픈 역사를 눈으로 확인할 수 있다.

(출처 : 제주 올레)",,,,,,상시 개방,,,,불가능,없음,,,없음,"코스안내:조천만 세동산 - 신흥리백사장(3.4km) - 함덕해수욕장(6.3km) - 너븐숭이 4.3기념관(9.1km) - 동복리 마을운동장(13.5km) - 김녕농로(16.3km) - 김녕서포구(19.4km)
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 20코스] 김녕-하도 올레,63348,,,제주특별자치도 제주시 구좌읍 김녕리 4069 (구좌읍),33.5576413840,126.7452553323,"제주 북동부 바다의 아름다움을 오롯이 담은 바당 올레다. 제주 북동쪽 바닷가 김녕서포구에서부터 김녕  월정  세화 해수욕장의 잔잔하게 일렁이는 쪽빛 바다 물결을 감상하며 걷게 된다. 물빛이 아름답고 수심이 고른 편이어서 물놀이하기에도 좋다. 운이 좋으면 해녀들이 물질하는 모습과 함께 숨비소리도 들을 수 있어 길에 제주 해녀 문화가 함께 스며 있다

<출처 : 사단법인 제주올레>",,17.6km (5~6시간),,연중무휴,,[하절기]<br>- 09:00 ~ 18:00<br>[동절기]<br>- 09:00 ~ 17:00,무료,,,불가능,없음,,,없음,"코스안내:김녕서포구 - 성세기태역길(2.1km) - 하수처리장 앞(4.6km) - 월정해수욕장(6.9km) - 행원포구 광해군기착비(8.3km) - 한동해안도로(12.2km) - 평대해수욕장(14.5km) - 제주해녀박물관(17.6km)
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 21코스] 하도-종달 올레,63362,,,제주특별자치도 제주시 구좌읍 해녀박물관길 26 ,33.5236276110,126.8634125272,"구좌읍의 바다를 바라보며 시작하여 마을과 밭길로 1/3  바닷길로 1/3  그리고 오름으로 1/3 등 제주 동부의 자연을 고르게 체험하는 길이다. 제주의 동쪽 땅끝이라는 뜻을 지닌 지미봉 위에서 360도 어디 한 곳 가릴 데 없이 제주가 펼쳐진다. 시흥초등학교  말미오름  당근밭  감자밭이 한눈에 들어오고 한편에 성산일출봉이 떠있는 푸른 제주의 동쪽 바다와 용눈이오름 다랑쉬오름이 있는 제주의 동부 오름 군락이 밀려든다.

(출처 : 제주올레트레일 홈페이지)",,,,,,하절기 09:00~18:00<br>동절기 09:00~17:00,,,,,없음,,,없음,"코스안내:재주해녀박물관 → 낮물발길(1.2㎞) → 별방진(3㎞) → 석다원(4㎞) → 토끼섬(5.2㎞) → 하도해수욕장(6.7㎞) → 지미봉 정상(9㎞m) → 종달바당(11.3㎞ / 3~4시간)
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 1-1코스] 우도-올레,63365,,,제주특별자치도 제주시 우도면 연평리 1737-1 (우도면),33.4931851843,126.9516416919,소가 드러누운 모습으로 떠 있는 우도는 푸른 초원과 검은 돌담 그리고 등대가 가장 제주다운 풍경을 연출한다. 우도 올레는 제주도에 딸린 62개의 섬 가운데 가장 크고 일년 내내 쪽빛 바다색을 자랑하는 우도의 절경을 만끽할 수 있는 코스다. 바닷길과 밭길  푸른 초원과 우도봉 등 다양한 모습이 있다. 제주도의 옛 돌담을 고스란히 간직한 돌담 올레를 걷고 호밀과 보리  땅콩이 자라는 밭둑 올레를 즐긴다.<br /><br /><출처 : 사단법인 제주올레><br>,,11.3km (4~5시간),,,,"* 걷기 시작시간 09:00<br />
* 걷기 종료시간 18:00(하절기) / 17:00(동절기)",,,,,없음,,,없음,"코스안내:천진항A - 홍조단괴해빈(2.3km) - 하우목동향B(3.4km/11.3km) - 산물통 입구(4.6km) - 파평윤씨공원(5.5km) - 하고수동 해수욕장(6.7km) - 연자마(7.9km) - 우도봉 입구(8.6km) - 천진항A(11.3km)

참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 7-1코스] 서귀포 버스터미널 - 제주올레 여행자센터 올레,63572,,,제주특별자치도 서귀포시 일주동로 9217 (법환동) ,33.2490217077,126.5082329024,"제주 중산간의 아름다움을 온몸으로 호흡하며 걷는 올레. 서귀포 버스 터미널에서 시작하여 중산간을 거쳐 제주올레 여행자센터로 내려온다. 위로는 한라산을  아래로는 제주의 남쪽 바다와 서귀포 전역을 조망할 수 있다. 기암절벽과 천연 난대림에 둘러싸인 중산간의 비경이 감탄을 자아낸다. 제주에서는 보기 드물게 논농사를 짓는 지역을 지나는데  논둑길을 따라 걷는 재미도 쏠쏠하다.

(출처 : 제주올레트레일 홈페이지)",,,,,,하절기 09:00~18:00<br>동절기 09:00~17:00,,,,,없음,,,없음,"코스안내:서귀포버스터미널 앞 → 엉또폭포(4㎞) → 고근산 정상(7.1㎞) → 하논분화구(12.5㎞) → 결매생태공원(15.1㎞) → 제주올레 여행자센터(15.7㎞ / 4~5시간)
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 10-1코스] 가파도 올레,63514,,,제주특별자치도 서귀포시 대정읍 가파로 243 ,33.1742484480,126.2707995994,한국의 유인도 중에서 가장 낮은 섬의 가파도 올레. 제주도에 한국에서 가장 높은 산인 한라산과 가장 낮은 섬 가파도가 함께 있다는 사실은 의미 깊다. 낮은 섬 가파도는 느리게 걸어도 두 시간이면 충분할 정도로 작다. 가파도는 머물렀을 때 작은 섬의 매력을 고스란히 느낄 수 있는 곳이다. 길고 긴 제주 섬의 올레를 걸어오느라 수고한 몸과 마음이 하루쯤 편히 쉴 곳이다.<br /><br /><출처 : 사단법인 제주올레><br>,,4.2km (1~2시간),,,,"* 걷기 시작시간 09:00<br />
* 걷기 종료시간 18:00(하절기) / 17:00(동절기)",,,,,없음,,,없음,"코스안내:상동포구 - 냇골챙이 앞(1.6km) - 가파초등학교(2km) - 개엄주리코지(2.9km) - 큰옹진물(3.4km) - 가파치안센터(4.2km)
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
[제주올레 14-1코스] 저지-서광 올레,63005,,,제주특별자치도 제주시 한경면 저지리 1851-5 (한경면),33.3326057306,126.2563223464,무성한 숲의 생명력  초록의 힘을 온몸으로 느끼는 곶자왈 올레다. 저지마을을 떠난 길은 밭 사이로 이어지다 이내 숲으로 들어선다. 문도지오름 정상에 오르면 한라산과 봉긋 솟은 사방의 오름들이 한눈에 들어온다. 위에서 내려다 보던 그 만만한 풍경은 곶자왈 안에 들어선 순간 싹 잊혀진다. 곶자왈이 품고 있는 무성한 숲의 생명력이 온몸을 휘감는다. 곶자왈을 빠져 나온 길은 초록물결이 넘실대는 드넓은 녹차밭으로 발걸음을 이끌며 끝이 난다.<br /><br /><출처 : 사단법인 제주올레><br>,,9.3km (3~4시간),,,,"* 걷기 시작시간 09:00<br />
* 걷기 종료시간 18:00(하절기) / 17:00(동절기)",,,,,없음,,,없음,"코스안내:저지예술 정보화마을 - 강정동산(2.8km) - 저지곶자왈(4.1km) - 문도지오름 출구(5.5km) - 저지상수원(8.8km) - 오설록 녹차밭(9.3km)
참고사항:※ 제주올레 여행 안전 수칙<br />
- 혼자 여행오는 경우 각 코스 시작점 출발 시간을 오전 9시로 맞춰서 함께 걷기<br />
(비인기 코스인 경우 혼자 걷게 될 수 있음  이 경우 제주올레 콜센터 064-762-2190 으로 연락요망)<br />
- 걷기 종료시간은 하절기 6시  동절기 5시로 이 시간 이후 걷기는 자제 요망<br />
- 혼자 걸을 때는 수시로 자기 위치와 안전여부를 가족이나 지인에게 알려주기<br />
- 비상 연락처 (제주올레 콜센터 064-762-2190  경찰112)를 꼭 가지고 다니기<br />
- 자동차가 다니는 도로변을 지날 때에는 길가에 붙어서 걷기<br />
- 코스를 벗어난 가파른 계곡이나 절벽 등으로의 모험은 삼가<br />
- 간세 등판에 있는 현재위치정보(간세번호와 남은거리)를 숙지하며 걷기<br />
- 여성 혼자 여행할 때는 가능하면 여성전용숙소나 검증된 숙소를 이용<br />
- 제주올레 표식을 놓쳤을 때는 마지막 표식을 본 자리로 되돌아가 표식을 다시 찾기<br />
- 제주올레 길을 걸을 때는 사전에 제주올레 코스에 대한 정보를 충분히 확인하고 숙지
"
